Name,My Rating,Genres,Studio
"""Oshi no Ko""",8,"['Drama', 'Supernatural', 'Reincarnation', 'Showbiz', 'Seinen', ' ', ' ', ' ']",Doga Kobo
Another,6,"['Horror', 'Mystery', 'Supernatural', 'Gore', 'School', ' ', ' ', ' ']",P.A. Works
Baccano!,9,"['Action', 'Comedy', 'Mystery', 'Supernatural', 'Historical', 'Organized Crime', ' ', ' ']",Brain's Base
Bakemonogatari,8,"['Mystery', 'Romance', 'Supernatural', 'Vampire', ' ', ' ', ' ', ' ']",Shaft
Banana Fish,8,"['Action', 'Adventure', 'Drama', 'Suspense', 'Delinquents', 'Organized Crime', 'Psychological', 'Shoujo']",MAPPA
Blue Lock,7,"['Sports', 'Team Sports', 'Shounen', ' ', ' ', ' ', ' ', ' ']",8bit
Bocchi the Rock!,7,"['Comedy', 'CGDCT', 'Music', ' ', ' ', ' ', ' ', ' ']",CloverWorks
Boku dake ga Inai Machi,5,"['Mystery', 'Supernatural', 'Suspense', 'Psychological', 'Time Travel', 'Seinen', ' ', ' ']",A-1 Pictures
Byousoku 5 Centimeter,7,"['Drama', 'Romance', ' ', ' ', ' ', ' ', ' ', ' ']",CoMix Wave Films
Chainsaw Man,8,"['Action', 'Fantasy', 'Gore', 'Shounen', ' ', ' ', ' ', ' ']",MAPPA
Code Geass: Hangyaku no Lelouch,8,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'School', 'Super Power']",Sunrise
Code Geass: Hangyaku no Lelouch R2,9,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power', ' ']",Sunrise
Cowboy Bebop,9,"['Action', 'Award Winning', 'Sci-Fi', 'Adult Cast', 'Space', ' ', ' ', ' ']",Sunrise
Cyberpunk: Edgerunners,8,"['Action', 'Sci-Fi', 'Gore', 'Psychological', ' ', ' ', ' ', ' ']",Trigger
Death Note,8,"['Supernatural', 'Suspense', 'Detective', 'Psychological', 'Shounen', ' ', ' ', ' ']",Madhouse
Death Parade,8,"['Drama', 'Supernatural', 'Suspense', 'Adult Cast', 'High Stakes Game', 'Psychological', ' ', ' ']",Madhouse
Dr. Stone,6,"['Adventure', 'Comedy', 'Sci-Fi', 'Survival', 'Time Travel', 'Shounen', ' ', ' ']",TMS Entertainment
Dr. Stone: Stone Wars,5,"['Adventure', 'Comedy', 'Sci-Fi', 'Survival', 'Time Travel', 'Shounen', ' ', ' ']",TMS Entertainment
